,team,sketch_title,writer,link,writer_clean
1084,Legs_for_Days,German Drinking Song,Written by Hunter Nelson,https://www.youtube.com/watch?v=euxUwHYxeQk,Hunter Nelson
1085,Legs_for_Days,Girl In Choir,Written by Katie Simon and Michael Hartney,https://www.youtube.com/watch?v=Q1okyoJpPxc,Katie Simon and Michael Hartney
1086,Legs_for_Days,Gum Namers,Written by Matthew Starr,https://www.youtube.com/watch?v=R3waZGXjBX4,Matthew Starr
1087,Legs_for_Days,Helen Hunt,Written by Jason Flowers,https://www.youtube.com/watch?v=FyRK7kZAY1w,Jason Flowers
1088,Legs_for_Days,Hot Oatmeal,Written by Katie Simon,https://www.youtube.com/watch?v=DUxL8HSd_lw,Katie Simon
1089,Legs_for_Days,How Can She Afford That?,written by Karin Hammerberg,https://www.youtube.com/watch?v=w7c414ercao,Karin Hammerberg
1090,Legs_for_Days,Hungover,Written by Susan Casey,https://www.youtube.com/watch?v=qP2ujuFq9Xs,Susan Casey
1091,Legs_for_Days,I'm Like A Bird,"Written by Matthew Starr, Pitch by Michael Hartney and Dan Chamberlain",https://www.youtube.com/watch?v=vSZ4GmNNag4,"Matthew Starr, Pitch Michael Hartney and Dan Chamberlain"
1092,Legs_for_Days,Interrupting Waitress,Written by Jared Neumark,https://www.youtube.com/watch?v=ST-5ftXfVQg,Jared Neumark
1093,Legs_for_Days,"Intro to ""Legs For Days Presents: A Salute to Alcohol""",Written by Hunter Nelson,https://www.youtube.com/watch?v=J6_MOObwg8I,Hunter Nelson
1094,Legs_for_Days,Jason Sings Karaoke - Part 1,No writer,https://www.youtube.com/watch?v=sKC_aq2C59E,No
1095,Legs_for_Days,Jason Sings Karaoke - Part 2,No writer,https://www.youtube.com/watch?v=o1sGlgCeEkI,No
1096,Legs_for_Days,Jason Sings Karaoke - Part 3,No writer,https://www.youtube.com/watch?v=atZS7GqkdvM,No
1097,Legs_for_Days,Jason Sings Karaoke - Part 4,No writer,https://www.youtube.com/watch?v=skaiurdbvP8,No
1098,Legs_for_Days,Joel Gets Laid,Written by Katie Simon,https://www.youtube.com/watch?v=RBYKKHaMsCA,Katie Simon
1099,Legs_for_Days,Karaoke Nightmare,Written by Susan Casey,https://www.youtube.com/watch?v=iiPGGo2ZYo4,Susan Casey
1100,Legs_for_Days,Knock Your Teeth Out,Written by Karin Hammerberg,https://www.youtube.com/watch?v=bk_M7TBWUuw,Karin Hammerberg
